NAME,TYPE,MIRROR,X,Y,ANGLE,VALUE,PACKAGE,MANUFACTURER,PARTNUMBER,OC_FARNELL,OC_PAGE,TOL,TC,VOLT,RATE,COLOR,TYPE,SIZE,FREQ,OPT
A5;SMD;0;122.70;41.00;  0;TPB1,27;B1,27;;;unknown;;;;;;;;;;
A6;SMD;0;122.70;43.00;  0;TPB1,27;B1,27;;;unknown;;;;;;;;;;
A7;SMD;0;122.70;44.75;  0;TPB1,27;B1,27;;;unknown;;;;;;;;;;
ANT;SMD;0;119.73;83.80;270;ANTENNE_GROUND_U.FL.;ANTENNA;HIROSE(HRS);U.FL-R-SMT-1(10);1688077;;;;;;;;;;
B7;SMD;0;109.20;35.30;  0;TPB1,27;B1,27;;;unknown;;;;;;;;;;
C1;SMD;0;85.24;36.35;180;4.7uF;C0805;AVX;0805ZD475KAT2A;1327701;;;;6.3V;;;;;;
U$1;TH;0;80.00;107.50;  0;;3,2;;;;;;;;;;;;;DO_NOT_MOUNT
